2022-02-25 14:53:04,777 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:04] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:53:04,823 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:04] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 14:53:04,824 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:04] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:53:06,520 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:06] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 14:53:06,789 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:06] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:53:06,834 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:06] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 14:53:06,836 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:06] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:53:26,510 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 14:53:26,785 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:53:26,814 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 14:53:26,817 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:53:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:54:26,511 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:54:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 14:54:26,766 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:54:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:54:26,826 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:54:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 14:54:26,826 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:54:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:55:26,531 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:55:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 14:55:26,802 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:55:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:55:26,842 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:55:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 14:55:26,844 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:55:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:56:26,512 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:56:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 14:56:26,781 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:56:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:56:26,827 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:56:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 14:56:26,829 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:56:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:57:26,526 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:57:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 14:57:26,827 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:57:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 14:57:26,832 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:57:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 14:57:27,144 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 14:57:27] "POST /getCoordinates HTTP/1.1" 200 -
